Ticker,Recent,1M,3M,6M,12M
VNO,38.39,36.43,30.37,36.23,66.51
VNT,34.11,32.86,28.26
VRSK,189.5,205.78,179.49,187.65,164.18
VRSN,202.39,214.5,189.83,208.73,212.13
VRTX,213.98,232.68,208.34,278.72,232.41
VTR,50.72,48.86,38.84,39.07,57.63
VTRS,18.24,18.13,14.3,17.0,22.1
WAB,80.53,72.4,56.17,65.28,77.3
WAT,283.95,245.56,224.77,216.52,234.01
WBA,50.38,39.34,34.59,41.16,52.28
WDC,65.57,49.53,38.81,42.42,66.76
WEC,83.05,90.55,99.76,94.97,98.69
WELL,67.51,63.8,52.26,54.69,86.53
WFC,33.53,29.75,21.18,25.78,47.27
WHR,199.93,184.39,188.44,162.57,154.1
WLTW,227.42,206.14,193.91,210.13,212.66
WMB,22.84,19.94,18.86,19.77,21.16
WMT,144.47,144.18,140.04,130.69,115.89
WRB,67.88,66.1,60.73,63.4,72.75
WRK,44.24
WST,294.01,279.94,280.24,269.62,158.11
WU,23.99,21.78,20.26,24.15,27.51
WY,35.04,33.65,27.43,28.35,30.1
WYNN,117.85,113.4,69.01,75.29,123.85
XEL,61.54,65.65,70.26,68.73,67.42
XLNX,145.75,142.1,119.76,107.82,88.06
XOM,50.52,41.6,31.57,44.03,64.11
XRAY,55.35,51.46,44.84,44.79,58.93
XRX,23.71,22.89,17.23,15.86,36.73
XYL,99.12,100.78,87.35,77.17,83.17
YUM,105.47,109.51,95.06,94.83,106.63
ZBH,161.38,152.22,133.37,139.58,150.75
ZBRA,477.74,383.75,285.2,273.85,250.17
ZION,49.58,43.22,30.6,33.37,46.37
ZTS,166.71,164.27,158.69,147.59,138.51
